State/UnionTerritory,Deaths,Cured,Confirmed
Andaman and Nicobar Islands,27136,1848286,1938498
Andhra Pradesh,2939367,370426530,392432753
Arunachal Pradesh,26799,6588149,7176907
Assam,638323,92678680,99837011
Bihar,1112347,126525370,133662075
Chandigarh,147694,10117035,10858627
Chhattisgarh,2063920,151609364,163776262
Dadra and Nagar Haveli and Daman and Diu,1022,1862102,1959356
Delhi,4943294,273419887,287227765
Goa,447801,26027201,28240159
Gujarat,2219448,132487127,143420082
Haryana,1502799,126585342,134347285
Himachal Pradesh,494855,27701150,30237805
Jammu and Kashmir,839694,53297341,58117726
Jharkhand,748641,58034506,62111994
Karnataka,6089959,444665851,488855931
Kerala,1888177,420174235,458906023
Ladakh,45804,3758960,4054293
Lakshadweep,3908,820925,915784
Madhya Pradesh,1788258,127505732,136416921
Maharashtra,23868185,1024765950,1127721063
Manipur,173056,11230568,12617943
Meghalaya,101950,6537909,7355969
Mizoram,9791,2384602,2984732
Nagaland,58460,4519526,5041742
Odisha,790814,150923455,160130533
Puducherry,312155,18483117,20065891
Punjab,2785594,91458159,99949702
Rajasthan,1473089,150356820,162369656
Sikkim,53150,2747214,3186799
Tamil Nadu,5916658,404095807,431928644
Telangana,750075,122154512,130562647
Tripura,150342,12976846,14050250
Uttar Pradesh,4143450,291479351,312625843
Uttarakhand,986001,48362741,53140414
West Bengal,3846989,247515102,263107876
